NAME,DESCRIPTION
neovim,"Fork of Vim aiming to improve user experience, plugins and GUIs"
git,"Git Tree History Storage Tool"
make,"GNU Make build tool"
zsh,"Z SHell"
zsh-completions,"Additional completions for Zsh"
zsh-syntax-highlighting,"Fish shell like syntax highlighting for Zsh"
htop,"Interactive process viewer"
curl,"Client that groks URLs"
fd,"Simple, fast and user-friendly alternative to find"
ripgrep,"Fast search tool inspired by ag and grep"
delta,"Syntax-highlighting pager for git"
tealdeer,"Very fast implementation of tldr in Rust"
fzf,"Command-line fuzzy finder"
lf,"Terminal file manager"
pulseaudio,"Featureful, general-purpose sound server"
pulsemixer,"CLI and curses mixer for Pulseaudio"
xorg,"X.org meta-package"
xsel,"Command-line getting and setting the contents of the X selection"
xcape,"Allows you to use a single press of a modifier key as another key"
unclutter-xfixes,"Cross-platform, GPU-accelerated terminal emulator"
dunst,"Lightweight and customizable notification daemon"
picom,"Lightweight compositor for X11 (previously a compton fork)"
feh,"Fast and light imlib2-based image viewer"
alacritty,"Cross-platform, GPU-accelerated terminal emulator"
sxiv,"Simple X Image Viewer"
mpv,"Video player based on MPlayer/mplayer2"
firefox,"Mozilla Firefox web browser"
zathura,"Highly customizable and functional document viewer"
gnome-themes-extra,"Extra GNOME themes"
adwaita-icon-theme,"Theme consisting of a set of icons for GTK+"
adwaita-qt,"Style to bend Qt applications to look like they belong into GNOME Shell"
starship,"Minimal, fast and customizable cross-shell prompt"
